33,53,30,63
33,46,76,24
33,59,90,32
33,69,38,84
33,64,49,82
33,11,42,59
33,9,27,22
33,96,77,26
33,91,70,69
33,72,83,66
33,59,30,84
33,30,30,58
33,91,89,76
33,70,97,18
33,59,36,4
33,11,17,55
33,44,18,44
33,61,30,79
33,15,31,17
33,67,20,41
33,93,75,0
33,4,71,76
33,21,32,5
33,0,12,17
33,95,64,44
33,26,78,2
33,83,32,29
33,55,93,50
33,91,48,25
33,61,69,81
33,47,50,79
33,94,61,36
33,41,25,94
33,53,82,41
33,24,61,56
33,28,54,64
33,58,85,58
33,67,10,47
33,5,27,85
33,97,82,97
33,74,16,16
33,87,11,63
33,35,34,12
33,20,21,67
33,32,5,14
33,44,3,71
33,11,89,73
33,7,64,70
33,60,91,39
33,23,28,20
33,52,10,45
33,77,80,72
33,17,4,31
33,2,74,27
33,76,21,25
33,7,86,27
33,74,27,82
33,83,6,27
33,60,14,9
33,95,94,64
33,79,74,11
33,46,72,59
33,96,97,19
33,15,5,66
33,83,18,76
33,77,83,40
33,24,29,94
33,59,65,79
33,90,9,2
33,12,59,91
33,60,78,32
33,36,76,24
33,1,43,66
33,47,78,36
33,61,4,48
33,22,47,87
33,67,30,42
33,28,22,67
33,12,25,63
33,91,96,58
33,42,85,1
33,35,30,28
33,12,87,49
33,74,56,89
33,25,32,39
33,65,75,63
33,55,51,51
33,0,35,64
33,34,63,61
33,38,69,71
33,39,63,27
33,55,39,70
33,37,37,10
33,85,11,5
33,4,62,10
33,7,92,86
33,39,86,82
33,50,82,47
33,96,2,91
33,38,71,62
33,40,57,42
33,10,7,36
33,12,13,69
33,61,73,13
33,17,88,15
33,89,70,95
33,3,78,93
33,83,37,95
33,75,34,46
33,5,28,22
33,81,92,45
33,0,77,85
33,44,19,4
33,43,58,10
33,98,36,42
33,8,19,4
33,93,36,7
33,94,48,45
33,48,40,27
33,15,74,52
33,8,9,83
33,29,97,12
33,26,22,39
33,79,41,85
33,81,14,5
33,21,53,29
33,5,21,89
33,53,12,39
33,58,28,45
33,78,40,68
33,98,71,67
33,18,40,88
33,38,29,78
33,19,85,72
33,46,57,26
33,53,0,91
33,86,72,88
33,30,82,28
33,79,93,32
33,88,9,49
33,26,21,44
33,86,82,18
33,88,82,83
33,33,18,21
33,33,91,51
33,27,17,37
33,7,83,65
33,63,64,5
33,73,71,71
33,2,0,41
33,27,75,86
